1;627848;"employ;precari employ;longitudin studi;occup health;temporari employ;public aspect medicin;job insecur;anxieti;meta analysi;review;longitudin studi;ra;prospect studi;longitudin;mental health;develop countri;human;depress;mental health;systemat review"
2;871232;"parent self efficaci;bodi mass index;sweden;self efficaci;child preschool;exercis;adult;accelerometri;bodi composit;cell phone;cardiorespiratori fit;parent;human;ministop trial;survey questionnair;male;femal;physic fit;bodi composit;cross sect studi;diet;bodi mass index"
3;511964;"residenti veget;object bas classif;tropic citi;urban ecolog;green infrastructur;garden;remot sens technolog;land use plan;object bas classif;social ecolog relationship;socioeconom factor;social ecolog relationship;airborn imageri;puerto rico;citi;resid characterist"
4;575285;"pandem;pneumonia viral;young adult;coronaviru infect;covid;self report;middl age;age factor;unit state;human;adult;adolesc;male;femal;health behavior"
6;707312;"hepg;metformin;glycolysi;nrf;liver cancer"
8;44142;"cardioprotect;clinic trial;rm;cardiovascular diseas;polyphenol;antioxid;therapeut pharmacolog;cardioton agent;human;polyphenol;cardiovascular diseas"
9;813606;"ip k;dynein;cell migrat;inositol hexakisphosph kinas;focal adhes;fak;dendrit;cellular microenviron;cell movement;cytoplasm dynein;brain;neuron;human;focal adhes;cell adhes;hek cell;phosphotransferas phosphat group acceptor"
13;656057;"skeleton;adapt biolog;anim;behavior anim;fossil;biolog evolut;locomot;mammal"
14;883989;"mucos melanoma;neoplasm tumor oncolog includ cancer carcinogen;head neck;multidisciplinari;rc;multidisciplinari"
16;833384;"biochar;ecolog;si bioavail;plant scienc;phytolith;ph;soil scienc conserv;biomed life scienc;soil buffer capac;life scienc;plant physiolog"
17;471431;"predict;florida;interspecif competit;competit behavior;toe;anim;anoli sagrei;lizard;anoli carolinensi;interfer;behavior anim;anim distribut;biolog evolut;ecosystem;male;femal;repeat;speci invas;habitat use;island;charact displac"
19;473111;"social welfar;health inequ;minor health;welfar state;europ;socioeconom factor;human;immigr;male;femal;health statu dispar"
21;672461;"fractur fixat intern;fractur ununit;child;clavicl;human;adolesc;pseudarthrosi;femal;fractur bone"
